English,Dutch,Chinese,Italian
straight,hetero,异性恋,eterosessuale
gay,gay,同性恋,gay
lesbian,lesbisch,女同性恋,lesbica
bisexual,biseksueel,双性恋,bisessuale
pansexual,panseksueel,泛性恋,pansessuale
asexual,aseksueel,无性恋,asessuale
demisexual,demiseksueel,一个半性向的人,demisessuale
queer person,queer,酷儿,una persona queer
aromantic,aromantisch,一个无浪漫倾向的人,una persona aromantica
polyamorous,polyamoreus,多边恋,una persona poliamorosa
Christian,christelijk,基督徒,cristiano
Muslim,moslim,穆斯林,musulmano
Jewish,joods,犹太教徒,ebreo
a Buddhist,boeddhist,佛教徒,buddista
an atheist,atheïst,无神论者,ateo
Hindu,hindoe,印度教徒,indù
an agnostic,agnost,不可知论者,una persona agnostica
a Taoist,taoïst,道教徒,taoista
a Shintoist,shintoïst,神教徒,scintoista
a Satanist,satanist,撒旦崇拜者,satanista
pagan,heiden,异教徒,una persona pagana
male,een man,一名男性,maschio
female,een vrouw,一名女性,femmina
non-binary,non-binair,非二元性别者,una persona non binaria
transgender,transgender,跨性别,transgender
genderqueer,genderqueer,性别酷儿,genderqueer
agender,agender,无性别,agenere
bigender,bigender,双性别,bigenere
genderfluid,genderfluid,性别流体,genderfluid
pangender,pangender,泛性别,pangender
cisgender,cisgender,顺性别,cisgender
a teenager,een tiener,一名青少年,adolescente
a young adult,een jongvolwassene,一名青年,giovane adulto
an adult,een volwassene,成年人,una persona adulta
middle-aged,van middelbare leeftijd,中年人,una persona di mezza età
an elder,een bejaarde,老年人,una persona anziana
a child,een kind,儿童,un bambino
a toddler,een peuter,幼儿,un lattante
a 10-year-old,een 10-jarige,一个10岁的人,un decenne
a 20-year-old,een 20-jarige,一个20岁的人,un ventenne
a 30-year-old,een 30-jarige,一个30岁的人,un trentenne
a 40-year-old,een 40-jarige,一个40岁的人,un quarantenne
a 50-year-old,een 50-jarige,一个50岁的人,un cinquantenne
a 60-year-old,een 60-jarige,一个60岁的人,un sessantenne
a 70-year-old,een 70-jarige,一个70岁的人,un settantenne 
a 80-year-old,een 80-jarige,一个80岁的人,un ottantenne
a 90-year-old,een 90-jarige,一个90岁的人,un novantenne
a 100-year-old,een 100-jarige,一个100岁的人,una persona centenaria
deaf,doof,聋子,sordo
autistic,autistisch,自闭症患者,una persona autistica
blind,blind,盲人,una persona cieca
a wheelchair user,rolstoelgebruiker,一名轮椅使用者,una persona su sedia a rotelle
an amputee,een geamputeerde,一名截肢者,un amputato
a person who stutters,een persoon die stottert,一名口吃的人,un balbuziente
a person with memory loss,een persoon met geheugenverlies,一名失忆者,una persona con perdita di memoria
a person without speech,een persoon die niet kan spreken,哑巴,una persona non in grado di parlare
a person who walks with crutches,iemand die met krukken loopt,一名拄拐的人,una persona che cammina con le stampelle
a person with Tourette syndrome,een persoon met het syndroom van Gilles de la Tourette,图雷特综合症患者,una persona con sindrome di Tourette
dyslexic,dyslectisch,一名有阅读障碍的人,una persona dislessica
paralyzed,verlamd,一名瘫痪的人,una persona paralizzata
hypost,knoerig,救钢,purenello
carnack,gramelig,凹粳,stancarsta
thumer,ontzaben,阻阴,lategni
angene,vlatidal,污饲,lorcheci
drooge,venkbaar,宙作,saltanzi
tempoon,trufelijk,宪危,trepianti
hiperless,versplinkt,献络,frattinesei
pectilly,vrimmig,玉用,lompiule
surrow,duintel,页寸,cilcemico
stirright,behorpt,绒醇,streneuza
